,idncase,last_judge_name,ij_final_date,case_outcome,nationality,language,represented,custody
13816,14777871,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13817,13762699,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13818,14861373,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13819,14869184,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13820,13748437,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13821,13512747,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13822,13050200,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13823,13076656,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13824,13222848,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13825,11748485,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13826,12853549,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13827,13454836,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13828,11734850,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13829,12681829,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13830,14158226,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13831,12181977,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
13832,11804529,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13833,14235535,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13834,12803747,"Cooper, Christopher",,,El Salvador,Spanish,False,Never Detained
13835,14829517,"Hansen, Katherine L.",,,Haiti,Creole,False,Never Detained
13836,14968134,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13837,12421886,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
13840,12129586,"Simons, Ian R.",,,Iraq,Arabic,False,Never Detained
13841,13762724,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13842,14448441,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13843,14880014,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13844,14567895,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13845,12829984,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13846,13665561,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13847,13600215,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13848,12734898,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13849,14073976,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13850,14326949,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13851,14201183,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13852,14135513,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13853,11722961,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
13854,13979502,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
13855,14810159,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
13856,14717134,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13857,13232910,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13858,11745009,"Simons, Ian R.",,,Guatemala,Spanish,False,Never Detained
13860,13304406,"Gundlach, Robert",,,Honduras,Spanish,False,Never Detained
13861,14861392,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13862,13748436,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13863,11359212,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13864,13727976,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13865,12272141,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13866,11942920,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13867,12623627,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13868,13407979,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13869,12981860,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13870,13573641,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13871,13049312,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13872,14141208,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13873,13246687,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13874,11804530,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13875,11964805,"Simons, Ian R.",,,Ecuador,Spanish,False,Never Detained
13876,13014790,"Simons, Ian R.",,,El Salvador,Spanish,False,Never Detained
13877,12569965,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13878,13018200,"Gundlach, Robert",,,Guatemala,Spanish,False,Never Detained
13879,12593064,"Simons, Ian R.",,,Guatemala,Spanish,False,Never Detained
13880,12604840,"Gundlach, Robert",,,Honduras,Spanish,False,Never Detained
13881,13015553,"Simons, Ian R.",,,Honduras,Spanish,False,Never Detained
13883,14823943,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13884,13727977,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13885,12987460,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13886,13454215,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13888,14074176,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13889,14082424,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13890,12561084,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13891,13790580,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13893,15110059,"Hansen, Katherine L.",,,Guatemala,English,False,Never Detained
13894,13073757,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13895,13179406,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13896,12150756,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13897,12735270,"Simons, Ian R.",,,Guatemala,Spanish,False,Never Detained
13898,14794613,"Simons, Ian R.",,,Guatemala,Spanish,False,Never Detained
13899,12532805,"Simons, Ian R.",,,Guatemala,Spanish,False,Never Detained
13900,14972460,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13901,13520507,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13902,13051870,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13903,13810328,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13904,12182522,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13905,13786629,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13906,11757412,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13907,13020943,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13908,13978489,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13909,14082425,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13910,12714029,"Hansen, Katherine L.",,,Nicaragua,Spanish,False,Never Detained
13911,13748595,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13912,13790579,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13913,15549393,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
13914,14372106,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
13915,12034113,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13916,12858550,"Gundlach, Robert",,,Colombia,Spanish,False,Never Detained
13917,14285343,"Hansen, Katherine L.",,,Colombia,Spanish,False,Never Detained
13918,12239261,"Simons, Ian R.",,,El Salvador,Spanish,False,Never Detained
13919,12809930,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13920,12848527,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13921,14731859,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13922,13525745,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13923,12685812,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13925,14184392,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13926,12829982,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13927,13387250,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13928,13489127,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13929,12853550,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13930,11734815,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13931,11691628,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13932,12681831,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13933,14104840,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13934,14438494,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13935,12829652,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13936,13800277,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13937,14567857,"Hansen, Katherine L.",,,Colombia,Spanish,False,Never Detained
13938,14544401,"Cooper, Christopher",,,El Salvador,Spanish,False,Never Detained
13939,14950236,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13940,12848086,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
13941,12030603,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13942,13320579,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13943,13337420,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13944,14186676,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
13945,13489139,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13946,14150699,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13948,14001359,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13949,12270951,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13950,12089223,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
13951,14843777,"Hansen, Katherine L.",,,Colombia,Spanish,False,Never Detained
13952,14126805,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
13953,13010102,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13954,13388393,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13955,12899906,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13956,14074177,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13957,14671557,"Gundlach, Robert",,,Turkey,Turkish,False,Never Detained
13958,14534543,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
13959,14731378,"Hansen, Katherine L.",,,Haiti,French,False,Never Detained
13960,14551748,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
13961,14653903,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
13962,14577355,"Simons, Ian R.",,,Colombia,Spanish,False,Never Detained
13963,14682502,"Cooper, Christopher",,,Dominican Republic,Spanish,False,Never Detained
13964,13972399,"Cooper, Christopher",,,Dominican Republic,Spanish,False,Never Detained
13965,14659976,"Cooper, Christopher",,,Dominican Republic,Spanish,False,Never Detained
13966,14693818,"Hansen, Katherine L.",,,Dominican Republic,Spanish,False,Never Detained
13968,15306348,"Cooper, Christopher",,,El Salvador,Spanish,False,Never Detained
13969,14940995,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13970,14939508,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Never Detained
13971,15017350,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
13972,15127532,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13973,14746151,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
13974,13509394,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13975,13509386,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13976,14016309,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13977,14659846,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13978,14280459,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13979,13592159,"Gundlach, Robert",,,Nicaragua,Spanish,False,Never Detained
13980,14444935,"Gundlach, Robert",,,Nicaragua,Spanish,False,Never Detained
13981,14637697,"Gundlach, Robert",,,Nicaragua,Spanish,False,Never Detained
13983,12958963,"Simons, Ian R.",,,Nicaragua,Spanish,False,Never Detained
13984,14280381,"Simons, Ian R.",,,Nicaragua,Spanish,False,Never Detained
13985,15218911,"Simons, Ian R.",,,Nicaragua,Spanish,False,Never Detained
13986,14607688,"Simons, Ian R.",,,Nicaragua,Spanish,False,Never Detained
13988,13521486,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
13989,15471166,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
13990,13061662,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
13991,14524716,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
13992,14965021,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
13993,13064079,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
13994,15538142,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
13995,11992774,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
13996,15452388,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
13997,13771551,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
13998,12573356,"Gundlach, Robert",,,Honduras,Spanish,False,Never Detained
13999,14252898,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
14000,13765005,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
14001,14021888,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
14002,15385359,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14003,14275472,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
14004,13864230,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14005,14366953,"Cooper, Christopher",,,Brazil,Portuguese,False,Never Detained
14006,13706554,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
14007,14335645,"Simons, Ian R.",,,Ecuador,Quiche,False,Never Detained
14008,12349051,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
14009,12766308,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14010,13758533,"Cooper, Christopher",,,Nicaragua,Spanish,False,Never Detained
14011,12659518,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14012,15207048,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14013,15507746,"Gundlach, Robert",,,Nicaragua,Spanish,False,Never Detained
14014,15248381,"Simons, Ian R.",,,Nicaragua,Spanish,False,Never Detained
14015,14738064,"Gundlach, Robert",,,Vietnam,Vietnamese,False,Never Detained
14016,13660711,"Cooper, Christopher",,,Haiti,Spanish,False,Never Detained
14017,13660737,"Cooper, Christopher",,,Haiti,Spanish,False,Never Detained
14018,11708737,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14019,12094568,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14020,14490280,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14021,12017110,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14022,12277870,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14023,14261894,"Cooper, Christopher",,,Syria,Arabic,False,Never Detained
14024,14796330,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14025,14256329,"Simons, Ian R.",,,Colombia,Spanish,False,Never Detained
14026,14936099,"Hansen, Katherine L.",,,Cuba,Spanish,False,Never Detained
14027,15338368,"Simons, Ian R.",,,Mexico,English,False,Never Detained
14028,13409723,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14029,14481143,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14030,14241641,"Gundlach, Robert",,,Honduras,Spanish,False,Never Detained
14031,14755336,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14032,14239649,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14033,13579125,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14034,12674021,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14035,14610096,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14036,14810849,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14038,14671835,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14039,13506914,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
14040,14625979,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14041,14858714,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14043,14711913,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14044,14605659,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14045,14132802,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14046,14819481,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14047,14644617,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14048,14231122,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14049,12846247,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14050,13952166,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14051,14697409,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14052,12937813,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14054,14241639,"Gundlach, Robert",,,Honduras,Spanish,False,Never Detained
14055,13738122,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14056,14860245,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14057,14819607,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14058,14408570,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14059,14251280,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14061,14135436,"Simons, Ian R.",,,El Salvador,Spanish,False,Never Detained
14062,13760036,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14063,13952004,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14064,14849199,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14065,14490105,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14066,14684104,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14067,14673953,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14068,14143770,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14069,14408400,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14070,14857372,"Hansen, Katherine L.",,,Colombia,Spanish,False,Never Detained
14071,14662490,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14073,14346967,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14074,13101139,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14075,12094916,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14076,14421645,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14077,14563356,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14078,14617081,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14079,13996946,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14080,13468555,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
14081,14664101,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14082,13547485,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14083,14753724,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14084,14350239,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14085,14547693,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14086,12276028,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14087,14219793,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14088,14639640,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14089,14162919,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14090,14812187,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14091,14836094,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14092,13650667,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14093,13551051,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14094,14691935,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14095,13724356,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14096,14812054,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14097,14834678,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14098,14378391,"Hansen, Katherine L.",,,Haiti,Creole,False,Never Detained
14099,12023372,"Hansen, Katherine L.",,,Haiti,Creole,False,Never Detained
14100,13820922,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14101,13853645,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14103,11978988,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14104,13021212,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14105,12413858,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14106,13994270,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14107,13565857,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14108,14378910,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14109,14606748,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14110,14681876,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14111,14711191,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14112,14812083,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14113,14474528,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
14114,14711914,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14115,14598831,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14116,14636731,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14117,14727956,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14119,14913543,"Cooper, Christopher",,,Canada,English,False,Never Detained
14120,14604844,"Hansen, Katherine L.",,,Cuba,Spanish,False,Never Detained
14121,14697510,"Gundlach, Robert",,,Ecuador,Spanish,False,Never Detained
14122,14245636,"Simons, Ian R.",,,Haiti,Spanish,False,Never Detained
14123,11274196,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14124,13006042,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14125,12757443,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14126,14814291,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14127,11942765,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14129,14403937,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14131,14269790,"Gundlach, Robert",,,Colombia,Spanish,False,Never Detained
14132,14447620,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14133,14613709,"Cooper, Christopher",,,El Salvador,Spanish,False,Never Detained
14134,12129186,"Simons, Ian R.",,,Haiti,Creole,False,Never Detained
14135,15017344,"Cooper, Christopher",,,Honduras,Spanish,False,Never Detained
14136,14836772,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14137,15512793,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14138,13166731,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14140,14348981,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14141,12412735,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14142,13952164,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14144,11962975,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14145,14217591,"Simons, Ian R.",,,Colombia,Spanish,False,Never Detained
14146,14693275,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14147,13406631,"Cooper, Christopher",,,Guatemala,Spanish,False,Never Detained
14148,10706287,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14149,14039111,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14150,14537955,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14151,13800635,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14154,14587233,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14155,12703342,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14156,13534404,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14157,14979373,"Gundlach, Robert",,,Dominican Republic,Spanish,False,Never Detained
14158,11827570,"Simons, Ian R.",,,Honduras,Spanish,False,Never Detained
14159,14208869,"Cooper, Christopher",,,Mexico,Spanish,False,Never Detained
14160,13126371,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14161,13045181,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14162,14800926,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14163,11801279,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14164,12214898,"Hansen, Katherine L.",,,Venezuela,Spanish,False,Never Detained
14165,14528855,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14167,14697418,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14169,14833077,"Simons, Ian R.",,,Haiti,Spanish,False,Never Detained
14171,13005977,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14172,14829556,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14173,12791663,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14174,14644812,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14175,14727547,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
14176,11962421,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14177,13376065,"Cooper, Christopher",,,Colombia,Spanish,False,Never Detained
14178,14403317,"Simons, Ian R.",,,Colombia,Spanish,False,Never Detained
14179,14147018,"Gundlach, Robert",,,Cuba,Spanish,False,Never Detained
14180,13442870,"Hansen, Katherine L.",,,Cuba,Spanish,False,Never Detained
14181,14655989,"Hansen, Katherine L.",,,Cuba,Spanish,False,Never Detained
14182,14854916,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14183,14279633,"Simons, Ian R.",,,Cuba,Spanish,False,Never Detained
14184,14377309,"Cooper, Christopher",,,El Salvador,Spanish,False,Never Detained
14185,15499475,"Gundlach, Robert",,,Haiti,English,False,Never Detained
14186,14574586,"Hansen, Katherine L.",,,Honduras,Spanish,False,Never Detained
14187,14599410,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14188,14843544,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14189,15174918,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14190,14290748,"Hansen, Katherine L.",,,Mexico,Spanish,False,Never Detained
14192,14200795,"Cooper, Christopher",,,Venezuela,Spanish,False,Never Detained
14193,14678073,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14194,14657229,"Simons, Ian R.",,,Venezuela,Spanish,False,Never Detained
14196,14537119,"Cooper, Christopher",,,Cuba,Spanish,False,Never Detained
14197,13396309,"Hansen, Katherine L.",,,Cuba,Spanish,False,Never Detained
14198,14435518,"Cooper, Christopher",,,Haiti,Creole,False,Never Detained
14199,11145186,"Simons, Ian R.",,,Haiti,Creole,False,Never Detained
14200,12041605,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14201,12994650,"Gundlach, Robert",,,Mexico,Spanish,False,Never Detained
14202,14246431,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
14203,14379352,"Simons, Ian R.",,,Mexico,Spanish,False,Never Detained
