president,phl_total_cases,phl_total_denied,phl_pct_denied,us_total_cases,us_total_denied,us_pct_denied
Biden,756.0,370.0,0.4894179894179894,70367.0,40198.0,0.5712620972899228
Trump,2005.0,1428.0,0.712219451371571,115419.0,88939.0,0.7705750353061455
